,,,,,,,,,,,,Party,,,,,,,,,,,test,,
AK-AL,Alaska,AK,2,94,81,US House,0,Don Young,Republican,FALSE,Alyse S. Galvin,Democrat,FALSE,total,131199,282166,FALSE,20200424,46,53,,,,46,53
AL-01,Alabama,AL,1,63,41,US House,1,Bradley Byrne,Republican,FALSE,Robert Kennedy Jr.,Democrat,FALSE,total,89226,242617,FALSE,20200424,37,63,,,,37,63
AL-02,Alabama,AL,1,63,41,US House,2,Martha Roby,Republican,FALSE,Tabitha Isner,Democrat,FALSE,total,86931,226230,FALSE,20200424,38,61,,,,38,61
AL-03,Alabama,AL,1,63,41,US House,3,Mike Rogers,Republican,FALSE,Mallory Hagan,Democrat,FALSE,total,83996,231915,FALSE,20200424,36,64,,,,36,64
AL-04,Alabama,AL,1,63,41,US House,4,Robert Aderholt,Republican,FALSE,Lee Auman,Democrat,FALSE,total,46492,230969,FALSE,20200424,20,80,,,,20,80
AL-05,Alabama,AL,1,63,41,US House,5,Mo Brooks,Republican,FALSE,Peter Joffrion,Democrat,FALSE,total,101388,260673,FALSE,20200424,39,61,,,,39,61
AL-06,Alabama,AL,1,63,41,US House,6,Gary Palmer,Republican,FALSE,Danner Kline,Democrat,FALSE,total,85644,278328,FALSE,20200424,31,69,,,,31,69
AL-07,Alabama,AL,1,63,41,US House,7,No Major Opponent,,FALSE,Terri Sewell,Democrat,FALSE,total,185010,189163,FALSE,20200424,98,98,,,*,98,98
AR-01,Arkansas,AR,5,71,42,US House,1,Rick Crawford,Republican,FALSE,Chintan Desai,Democrat,FALSE,total,57907,201245,FALSE,20200424,29,69,,,,29,69
AR-02,Arkansas,AR,5,71,42,US House,2,French Hill,Republican,FALSE,Clarke Tucker,Democrat,FALSE,total,116135,253453,FALSE,20200424,46,52,,,,46,52
AR-03,Arkansas,AR,5,71,42,US House,3,Steve Womack,Republican,FALSE,Josh Mahony,Democrat,FALSE,total,74952,229708,FALSE,20200424,33,65,,,,33,65
AR-04,Arkansas,AR,5,71,42,US House,4,Bruce Westerman,Republican,FALSE,Hayden Catherine Shamel,Democrat,FALSE,total,63984,204892,FALSE,20200424,31,67,,,,31,67
AZ-01,Arizona,AZ,4,86,61,US House,1,Wendy Rogers,Republican,FALSE,Tom O'Halleran,Democrat,FALSE,total,143240,266089,FALSE,20200424,54,46,,,,54,46
AZ-02,Arizona,AZ,4,86,61,US House,2,Lea Marquez Peterson,Republican,FALSE,Ann Kirkpatrick,Democrat,FALSE,total,161000,294152,FALSE,20200424,55,45,,,,55,45
AZ-03,Arizona,AZ,4,86,61,US House,3,"Nicolas """"Nick"""" Pierson",Republican,FALSE,Raul Grijalva,Democrat,FALSE,total,114650,179518,FALSE,20200424,64,36,,,,64,36
AZ-04,Arizona,AZ,4,86,61,US House,4,Paul Gosar,Republican,FALSE,David Brill,Democrat,FALSE,total,84521,277035,FALSE,20200424,31,68,,,,31,68
AZ-05,Arizona,AZ,4,86,61,US House,5,Andy Biggs,Republican,FALSE,Joan Greene,Democrat,FALSE,total,127027,313064,FALSE,20200424,41,59,,,,41,59
AZ-06,Arizona,AZ,4,86,61,US House,6,David Schweikert,Republican,FALSE,Anita Malik,Democrat,FALSE,total,140559,313699,FALSE,20200424,45,55,,,,45,55
AZ-07,Arizona,AZ,4,86,61,US House,7,No Major Opponent,,FALSE,Ruben Gallego,Democrat,FALSE,total,113044,132051,FALSE,20200424,86,86,,,*,86,86
AZ-08,Arizona,AZ,4,86,61,US House,8,Debbie Lesko,Republican,FALSE,Hiral Tipirneni,Democrat,FALSE,total,135569,304417,FALSE,20200424,45,55,,,,45,55
AZ-09,Arizona,AZ,4,86,61,US House,9,Stephen L Ferrara,Republican,FALSE,Greg Stanton,Democrat,FALSE,total,159583,261245,FALSE,20200424,61,39,,,,61,39
CA-01,California,CA,6,93,71,US House,1,Doug La Malfa,Republican,FALSE,Audrey Denney,Democrat,FALSE,total,131548,291594,FALSE,20200424,45,55,,,,45,55
CA-02,California,CA,6,93,71,US House,2,Dale K. Mensing,Republican,FALSE,Jared Huffman,Democrat,FALSE,total,243081,315657,FALSE,20200424,77,23,,,,77,23
CA-03,California,CA,6,93,71,US House,3,Charlie Schaupp,Republican,FALSE,John Garamendi,Democrat,FALSE,total,134875,232251,FALSE,20200424,58,42,,,,58,42
CA-04,California,CA,6,93,71,US House,4,Tom McClintock,Republican,FALSE,Jessica Morse,Democrat,FALSE,total,156253,340654,FALSE,20200424,46,54,,,,46,54
CA-05,California,CA,6,93,71,US House,5,No Major Opponent,,FALSE,Mike Thompson,Democrat,FALSE,total,205860,261018,FALSE,20200424,79,79,,,*,79,79
CA-06,California,CA,6,93,71,US House,6,Jrmar Jefferson,Democrat,FALSE,Doris Matsui,Democrat,FALSE,total,162411,201939,FALSE,20200424,80,20,,,,80,20
CA-07,California,CA,6,93,71,US House,7,Andrew Grant,Republican,FALSE,Ami Bera,Democrat,FALSE,total,155016,281617,FALSE,20200424,55,45,,,,55,45
CA-09,California,CA,6,93,71,US House,9,Marla Livengood,Republican,FALSE,Jerry McNerney,Democrat,FALSE,total,113414,200763,FALSE,20200424,56,44,,,,56,44
CA-10,California,CA,6,93,71,US House,10,Jeff Denham,Republican,FALSE,Josh Harder,Democrat,FALSE,total,115945,221900,FALSE,20200424,52,48,,,,52,48
CA-11,California,CA,6,93,71,US House,11,John Fitzgerald,Republican,FALSE,Mark DeSaulnier,Democrat,FALSE,total,204369,275681,FALSE,20200424,74,26,,,,74,26
CA-12,California,CA,6,93,71,US House,12,Lisa Remmer,Republican,FALSE,Nancy Pelosi,Democrat,FALSE,total,275292,317072,FALSE,20200424,87,13,,,,87,13
CA-13,California,CA,6,93,71,US House,13,No Major Opponent,,FALSE,Barbara Lee,Democrat,FALSE,total,260580,294837,FALSE,20200424,88,88,,,*,88,88
CA-14,California,CA,6,93,71,US House,14,Cristina Osmena,Republican,FALSE,Jackie Speier,Democrat,FALSE,total,211384,266823,FALSE,20200424,79,21,,,,79,21
CA-15,California,CA,6,93,71,US House,15,Rudy L. Peters Jr.,Republican,FALSE,Eric Swalwell,Democrat,FALSE,total,177989,243929,FALSE,20200424,73,27,,,,73,27
CA-16,California,CA,6,93,71,US House,16,Elizabeth Heng,Republican,FALSE,Jim Costa,Democrat,FALSE,total,82266,142959,FALSE,20200424,58,42,,,,58,42
CA-17,California,CA,6,93,71,US House,17,Ron Cohen,Republican,FALSE,Ro Khanna,Democrat,FALSE,total,159105,211162,FALSE,20200424,75,25,,,,75,25
CA-18,California,CA,6,93,71,US House,18,Christine Russell,Republican,FALSE,Anna G. Eshoo,Democrat,FALSE,total,225142,302238,FALSE,20200424,74,26,,,,74,26
CA-19,California,CA,6,93,71,US House,19,Justin James Aguilera,Republican,FALSE,Zoe Lofgren,Democrat,FALSE,total,162496,220319,FALSE,20200424,74,26,,,,74,26
CA-20,California,CA,6,93,71,US House,20,No Major Opponent,,FALSE,Jimmy Panetta,Democrat,FALSE,total,183677,225721,FALSE,20200424,81,81,,,*,81,81
CA-21,California,CA,6,93,71,US House,21,David G. Valadao,Republican,FALSE,TJ Cox,Democrat,FALSE,total,57239,113616,FALSE,20200424,50,50,,,,50,50
CA-22,California,CA,6,93,71,US House,22,Devin G. Nunes,Republican,FALSE,Andrew Janz,Democrat,FALSE,total,105136,222379,FALSE,20200424,47,53,,,,47,53
CA-23,California,CA,6,93,71,US House,23,Kevin McCarthy,Republican,FALSE,Tatiana Matta,Democrat,FALSE,total,74661,205774,FALSE,20200424,36,64,,,,36,64
CA-24,California,CA,6,93,71,US House,24,Justin Fareed,Republican,FALSE,Salud Carbajal,Democrat,FALSE,total,166550,284431,FALSE,20200424,59,41,,,,59,41
CA-25,California,CA,6,93,71,US House,25,Steve Knight,Republican,FALSE,Katie Hill,Democrat,FALSE,total,133209,245022,FALSE,20200424,54,46,,,,54,46
CA-26,California,CA,6,93,71,US House,26,"Antonio Sabato, Jr.",Republican,FALSE,Julia Brownley,Democrat,FALSE,total,158216,255426,FALSE,20200424,62,38,,,,62,38
CA-27,California,CA,6,93,71,US House,27,Judy Chu,Democrat,FALSE,Bryan Witt,Democrat,FALSE,total,42132,202636,FALSE,20200424,21,79,,,,21,79
CA-28,California,CA,6,93,71,US House,28,Johnny J. Nalbandian,Republican,FALSE,Adam B. Schiff,Democrat,FALSE,total,196662,250934,FALSE,20200424,78,22,,,,78,22
CA-29,California,CA,6,93,71,US House,29,Benito Benny Bernal,Republican,FALSE,Tony Cardenas,Democrat,FALSE,total,124697,154692,FALSE,20200424,81,19,,,,81,19
